restaurant,items,price,date
Domino's Pizza,2 Pizzas at 399 each Select any 2 Medium Pizzas Worth 555 @ 399 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 99 each Select any 2 Regular Pizzas Worth 165 @ 99 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 399 each Select any 2 Medium Pizzas Worth 555 @ 399 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 99 each Select any 2 Regular Pizzas Worth 165 @ 99 each,0.0,2019-04-17
Flavours of China ( Evershine Nagar),Veg. Hot & Sour Soup,110.0,2019-04-17
Flavours of China ( Evershine Nagar),Chicken Jade Soup,121.0,2019-04-17
Bhagwati Veg Restaurant,Schezwan Fried Rice,165.0,2019-04-17
The Bohri Fusion,Chicken Black Pepper Roll,209.0,2019-04-17
The Bohri Fusion,Chicken Malai Tikka Roll,209.0,2019-04-17
Subway (Powai),Veggie Delite,200.0,2019-04-17
Subway (Powai),Turkey Breast & Chicken Slices,228.0,2019-04-17
Vinisha Food Corner,Chilli Paneer,190.0,2019-04-17
Vinisha Food Corner,Garlic Paneer,190.0,2019-04-17
Mandarin Panda,Pataya Chicken,289.0,2019-04-17
Mandarin Panda,Chicken Satay,329.0,2019-04-17
New Lom Chings,Chicken Clear Soup,130.0,2019-04-17
New Lom Chings,Chicken Talumein Soup,130.0,2019-04-17
Behrouz Biryani (Powai),Shahi Subz Dastarkhwan (Veg),361.0,2019-04-17
Behrouz Biryani (Powai),Shahi Murg Dastarkhwan (Non-Veg),428.0,2019-04-17
Thali & Combos By Treat,Idli Vada,50.0,2019-04-17
Thali & Combos By Treat,Butter Idli,65.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),McAloo Tikki McSaver,118.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),,325.0,2019-04-17
McDonald's (Fun Republic),McSpicy Paneer with Whole Wheat Bun,155.0,2019-04-17
McDonald's (Fun Republic),,288.0,2019-04-17
The Spot,Chicken Malai Cheese Burger,90.0,2019-04-17
The Spot,Chicken Cheesy Burger,80.0,2019-04-17
The Light Kitchen,Grilled Chicken Wrap,195.0,2019-04-17
The Light Kitchen,Green Vegetable Sandwich,182.0,2019-04-17
Masala Wok,Veg. Multani Soup,130.0,2019-04-17
Masala Wok,Dal Soup,130.0,2019-04-17
Kosho,Makai Ka Shorba,120.0,2019-04-17
Domino's Pizza,2 Pizzas at 139 each Select any 2 Regular Pizzas Worth 205 @ 139 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 179 each Select any 2 Regular Pizzas Worth 235 @ 179 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 139 each Select any 2 Regular Pizzas Worth 205 @ 139 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 179 each Select any 2 Regular Pizzas Worth 235 @ 179 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 139 each Select any 2 Regular Pizzas Worth 205 @ 139 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 179 each Select any 2 Regular Pizzas Worth 235 @ 179 each,0.0,2019-04-17
Flavours of China ( Evershine Nagar),Chicken Wonton Soup,132.0,2019-04-17
Flavours of China ( Evershine Nagar),Chicken Clear Soup,116.0,2019-04-17
Bhagwati Veg Restaurant,Vegetable Cutlet,70.0,2019-04-17
The Bohri Fusion,Mutton Kathi Roll,229.0,2019-04-17
The Bohri Fusion,Mutton Seekh Roll,239.0,2019-04-17
Subway (Powai),Turkey,228.0,2019-04-17
Subway (Powai),Tuna,228.0,2019-04-17
Vinisha Food Corner,Schezwan Paneer,190.0,2019-04-17
Vinisha Food Corner,Paneer 65,190.0,2019-04-17
Mandarin Panda,Roasted Chilli Chicken,289.0,2019-04-17
Mandarin Panda,Korean Chicken,289.0,2019-04-17
New Lom Chings,Chicken Wonton Soup,130.0,2019-04-17
New Lom Chings,Chicken Beijing Soup,130.0,2019-04-17
Behrouz Biryani (Powai),Shahi Gosht Dastarkhwan (Non Veg),514.0,2019-04-17
Behrouz Biryani (Powai),SWIG Jeera Masala,38.0,2019-04-17
Thali & Combos By Treat,Fried Idli,65.0,2019-04-17
Thali & Combos By Treat,Idli Manchurian,80.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),,325.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Veg Maharaja Mac,316.0,2019-04-17
McDonald's (Fun Republic),,283.0,2019-04-17
McDonald's (Fun Republic),American Cheese Supreme - Chicken Whole Wheat Bun,133.0,2019-04-17
The Spot,Chicken Cheesy Cheese Burger,90.0,2019-04-17
The Spot,Chicken Tandoori Burger,80.0,2019-04-17
The Light Kitchen,Mashed Potato Sandwich,149.0,2019-04-17
